,preprocessed_name,NAME,CITY_x,STATE
1526,fishercollege,FISHER COLLEGE,Boston,MA
1586,franklinwolincollegeengineering,FRANKLIN W OLIN COLLEGE OF ENGINEERING,Needham,MA
1542,hampshirecollege,HAMPSHIRE COLLEGE,Amherst,MA
1546,lasellcollege,LASELL COLLEGE,Newton,MA
1557,merrimackcollege,MERRIMACK COLLEGE,North Andover,MA
1561,newburycollege,NEWBURY COLLEGE,Brookline,MA
1562,nicholscollege,NICHOLS COLLEGE,Dudley,MA
1506,northshorecommunitycollege,NORTH SHORE COMMUNITY COLLEGE,Danvers,MA
1566,quincycollege,QUINCY COLLEGE,Quincy,MA
1572,springfieldcollege,SPRINGFIELD COLLEGE,Springfield,MA
1574,stonehillcollege,STONEHILL COLLEGE,Easton,MA
1575,suffolkuniversity,SUFFOLK UNIVERSITY,Boston,MA
1548,universitymassachusettslowell,UNIVERSITY OF MASSACHUSETTS-LOWELL,Lowell,MA
1515,urbancollegeboston,URBAN COLLEGE OF BOSTON,Boston,MA
1577,wellesleycollege,WELLESLEY COLLEGE,Wellesley,MA
1579,westernnewenglanduniversity,WESTERN NEW ENGLAND UNIVERSITY,Springfield,MA
1580,westfieldstateuniversity,WESTFIELD STATE UNIVERSITY,Westfield,MA
1581,wheatoncollege,WHEATON COLLEGE,Norton,MA
1582,wheelockcollege,WHEELOCK COLLEGE,Boston,MA
140,baltimorecitycommunitycollege,BALTIMORE CITY COMMUNITY COLLEGE,Baltimore,MD
142,bowiestateuniversity,BOWIE STATE UNIVERSITY,Bowie,MD
143,cecilcollege,CECIL COLLEGE,North East,MD
137,coppinstateuniversity,COPPIN STATE UNIVERSITY,Baltimore,MD
147,frederickcommunitycollege,FREDERICK COMMUNITY COLLEGE,Frederick,MD
148,frostburgstateuniversity,FROSTBURG STATE UNIVERSITY,Frostburg,MD
150,gouchercollege,GOUCHER COLLEGE,Baltimore,MD
151,hagerstowncommunitycollege,HAGERSTOWN COMMUNITY COLLEGE,Hagerstown,MD
153,hoodcollege,HOOD COLLEGE,Frederick,MD
154,howardcommunitycollege,HOWARD COMMUNITY COLLEGE,Columbia,MD
155,johnshopkinsuniversity,JOHNS HOPKINS UNIVERSITY,Baltimore,MD
156,loyolauniversitymaryland,LOYOLA UNIVERSITY MARYLAND,Baltimore,MD
