,preprocessed_name,INSTNM,CITY_y,STABBR
2734,southwesternoregoncommunitycollege,Southwestern Oregon Community College,Coos Bay,OR
2997,tillamookbaycommunitycollege,Tillamook Bay Community College,Tillamook,OR
2735,treasurevalleycommunitycollege,Treasure Valley Community College,Ontario,OR
2736,umpquacommunitycollege,Umpqua Community College,Roseburg,OR
2729,universityoregon,University of Oregon,Eugene,OR
2732,universityportland,University of Portland,Portland,OR
2738,westernoregonuniversity,Western Oregon University,Monmouth,OR
2737,willametteuniversity,Willamette University,Salem,OR
2739,academyvocalarts,Academy of Vocal Arts,Philadelphia,PA
3170,bellacapelliacademy,Bella Capelli Academy,Monroeville,PA
3237,berkscareertechnologycenter,Berks Career & Technology Center,Leesport,PA
2745,butlerbeautyacademy,Butler Beauty Academy,Butler,PA
2918,butlerbeautyacademynewcastlebeautyacademy,Butler Beauty Academy-New Castle Beauty Academy,New Castle,PA
3013,clearfieldcountycareertechnologycenter,Clearfield County Career and Technology Center,Clearfield,PA
2760,commonwealthtechnicalinstitute,Commonwealth Technical Institute,Johnstown,PA
2765,communitycollegephiladelphia,Community College of Philadelphia,Philadelphia,PA
2746,delawarecountycommunitycollege,Delaware County Community College,Media,PA
3260,devryuniversitypennsylvania,DeVry University-Pennsylvania,Ft. Washington,PA
2747,douglaseducationcenter,Douglas Education Center,Monessen,PA
2930,empirebeautyschoolcentercityphiladelphia,Empire Beauty School-Center City Philadelphia,Philadelphia,PA
3292,empirebeautyschoolcheltenham,Empire Beauty School-Cheltenham,Wyncote,PA
2975,empirebeautyschoolhanover,Empire Beauty School-Hanover,Hanover,PA
2756,empirebeautyschoolharrisburg,Empire Beauty School-Harrisburg,Harrisburg,PA
2750,empirebeautyschoollancaster,Empire Beauty School-Lancaster,Lancaster,PA
2748,empirebeautyschoollebanon,Empire Beauty School-Lebanon,Lebanon,PA
2753,empirebeautyschoollehighvalley,Empire Beauty  School-Lehigh Valley,Whitehall,PA
3010,empirebeautyschoolmonroeville,Empire Beauty School-Monroeville,Monroeville,PA
2759,empirebeautyschoolnephiladelphia,Empire Beauty School-NE Philadelphia,Philadelphia,PA
3091,empirebeautyschoolnorthhills,Empire Beauty School-North Hills,Pittsburgh,PA
2752,empirebeautyschoolpottsville,Empire Beauty School-Pottsville,Pottsville,PA
2757,empirebeautyschoolreading,Empire Beauty School-Reading,Reading,PA
2751,empirebeautyschoolshamokindam,Empire Beauty School-Shamokin Dam,Shamokin Dam,PA
3147,empirebeautyschoolspringfield,Empire Beauty School-Springfield,Springfield,PA
3052,empirebeautyschoolwestmifflin,Empire Beauty School-West Mifflin,West Mifflin,PA
2755,empirebeautyschoolwyomingvalley,Empire Beauty School-Wyoming Valley,Moosic,PA
2749,empirebeautyschoolyork,Empire Beauty School-York,York,PA
2992,forbesroadcareertechnologycenter,Forbes Road Career and Technology Center,Monroeville,PA
2758,franklinmarshallcollege,Franklin and Marshall College,Lancaster,PA
3165,geisingerlewistownhospitalschoolnursing,Geisinger-Lewistown Hospital School of Nursing,Lewistown,PA
3075,internationalinstituteforrestorativepractices,International Institute for Restorative Practices,Bethlehem,PA
2985,jeffersoncountyduboisareavocationaltechnicalpracticalnursingprogram,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA
2768,josephfmccloskeyschoolnursing,Joseph F McCloskey School of Nursing,Pottsville,PA
2963,lakeeriecollegeosteopathicmedicine,Lake Erie College of Osteopathic Medicine,Erie,PA
2987,lancastercountycareertechnologycenter,Lancaster County Career and Technology Center,Willow Street,PA
2900,laurelbusinessinstitute,Laurel Business Institute,Uniontown,PA
2740,lincolntechnicalinstituteallentown,Lincoln Technical Institute-Allentown,Allentown,PA
2741,lincolntechnicalinstitutephiladelphia,Lincoln Technical Institute-Philadelphia,Philadelphia,PA
2742,lincolnuniversity,Lincoln University,Lincoln University,PA
2743,messiahuniversity,Messiah University,Mechanicsburg,PA
2986,mifflincountyacademysciencetechnology,Mifflin County Academy of Science and Technology,Lewistown,PA
2744,missiotheologicalseminary,Missio Theological Seminary,Philadelphia,PA
2761,moorecollegeartdesign,Moore College of Art and Design,Philadelphia,PA
2762,newcastleschooltrades,New Castle School of Trades,New Castle,PA
2988,northerntiercareercenter,Northern Tier Career Center,Towanda,PA
2763,pennsylvaniacollegeartdesign,Pennsylvania College of Art and Design,Lancaster,PA
3382,pennsylvaniastateuniversity,The Pennsylvania State University,University Park,PA
3272,philadelphiatechniciantraining,Philadelphia Technician Training,Philadelphia,PA
2767,pittsburghtheologicalseminary,Pittsburgh Theological Seminary,Pittsburgh,PA
2769,saintvincentseminary,Saint Vincent Seminary,Latrobe,PA
2770,swarthmorecollege,Swarthmore College,Swarthmore,PA
2764,universityarts,The University of the Arts,Philadelphia,PA
3287,universityphoenixpennsylvania,University of Phoenix-Pennsylvania,Philadelphia,PA
2766,universitypittsburghtitusville,University of Pittsburgh-Titusville,Titusville,PA
2771,venusbeautyacademy,Venus Beauty Academy,Sharon Hill,PA
2772,weldertrainingtestinginstitute,Welder Training and Testing Institute,Allentown,PA
2909,wilkesbarreareacareertechnicalcenterpracticalnursing,Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA
2773,williamsoncollegetrades,Williamson College of the Trades,Media,PA
3037,woninstitutegraduatestudies,Won Institute of Graduate Studies,Glenside,PA
2858,antillesschooltechnicalcareers,Antilles School of Technical Careers,San Juan,PR
3327,caribbeanaviationtraininginstituteinc,Caribbean Aviation Training Institute Inc,Carolina,PR
2908,caribbeanuniversityvegabaja,Caribbean University-Vega Baja,Vega Baja,PR
2931,cemcollegehumacao,CEM College-Humacao,Humacao,PR
3014,colegiodecinematografíaartesytelevision,Colegio de Cinematografía Artes y Television,Bayamon,PR
3046,colegioeducativotecnologicoindustrialinc,Colegio Educativo Tecnologico Industrial Inc,Arecibo,PR
2932,colegiomayordetecnologiainc,Colegio Mayor de Tecnologia Inc,Arroyo,PR
3060,colegiotecnicodeelectricidadgalloza,Colegio Tecnico de Electricidad Galloza,Aguada,PR
2862,colegiouniversitariodesanjuan,Colegio Universitario de San Juan,San Juan,PR
2864,conservatorymusicpuertorico,Conservatory of Music of Puerto Rico,San Juan,PR
3366,edpuniversitypuertoricohumacao,EDP University of Puerto Rico-Humacao,Humacao,PR
2889,edpuniversitypuertoricoincsanjuan,EDP University of Puerto Rico Inc-San Juan,San Juan,PR
2865,edpuniversitypuertoricoincsansebastian,EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR
3367,edpuniversitypuertoricomanati,EDP University of Puerto Rico-Manati,Manati,PR
3355,edpuniversitypuertoricovillalba,EDP University of Puerto Rico-Villalba,Villalba,PR
2954,emmasbeautyacademyjuanadiaz,Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR
2866,emmasbeautyacademymayaguez,Emma's Beauty Academy-Mayaguez,Mayaguez,PR
2867,escueladeartesplasticasydisenodepuertorico,Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR
2868,huertascollege,Huertas College,Caguas,PR
2890,icprjuniorcollege,ICPR Junior College,Hato Rey,PR
2891,icprjuniorcollege,ICPR Junior College,Manati,PR
2869,icprjuniorcollegearecibo,ICPR Junior College-Arecibo,Arecibo,PR
2870,icprjuniorcollegemayaguez,ICPR Junior College-Mayaguez,Mayaguez,PR
2933,institucionchavianodemayaguez,Institucion Chaviano de Mayaguez,Mayaguez,PR
3098,institutoeducativopremier,Instituto Educativo Premier,Ponce,PR
2934,liceodeartediseoycomercio,Liceo de Arte-Dise-O y Comercio,Caguas,PR
3007,novacollegedepuertorico,Nova College de Puerto Rico,Bayamon,PR
2860,pontificalcatholicuniversitypuertoricoarecibo,Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR
2883,pontificalcatholicuniversitypuertoricomayaguez,Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR
2861,pontificalcatholicuniversitypuertoricoponce,Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR
3301,ppgtechnicalcollege,PPG Technical College,Caguas,PR
2968,professionaltechnicalinstitution,Professional Technical Institution,Bayamon,PR
2881,seminarioevangelicodepuertorico,Seminario Evangelico de Puerto Rico,San Juan,PR
2935,universaltechnologycollegepuertorico,Universal Technology College of Puerto Rico,Aguadilla,PR
2859,universidadadventistadelasantillas,Universidad Adventista de las Antillas,Mayaguez,PR
2880,universidadanagmendezcarolinacampus,Universidad Ana G. Mendez-Carolina Campus,Carolina,PR
2863,universidadanagmendezcupeycampus,Universidad Ana G. Mendez-Cupey Campus,San Juan,PR
2884,universidadanagmendezgurabocampus,Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR
3271,universidadanagmendezonlinecampus,Universidad Ana G. Mendez-Online Campus,San Juan,PR
2848,universidadcentraldebayamon,Universidad Central de Bayamon,Bayamón,PR
2882,universidadpolitecnicadepuertorico,Universidad Politecnica de Puerto Rico,Hato Rey,PR
2871,universitypuertoricoaguadilla,University of Puerto Rico-Aguadilla,Aguadilla,PR
2872,universitypuertoricoarecibo,University of Puerto Rico-Arecibo,Arecibo,PR
2873,universitypuertoricocarolina,University of Puerto Rico-Carolina,Carolina,PR
2874,universitypuertoricocayey,University of Puerto Rico-Cayey,Cayey,PR
2875,universitypuertoricohumacao,University of Puerto Rico-Humacao,Humacao,PR
2877,universitypuertoricomedicalsciences,University of Puerto Rico-Medical Sciences,San Juan,PR
2878,universitypuertoricoponce,University of Puerto Rico-Ponce,Ponce,PR
2879,universitypuertoricoriopiedras,University of Puerto Rico-Rio Piedras,San Juan,PR
2876,universitypuertoricoutuado,University of Puerto Rico-Utuado,Utuado,PR
2774,empirebeautyschoolwarwick,Empire Beauty School-Warwick,Providence,RI
3164,johnsonwalesuniversityonline,Johnson & Wales University-Online,Providence,RI
3016,lincolntechnicalinstitutelincoln,Lincoln Technical Institute-Lincoln,Lincoln,RI
3049,paulmitchellschoolrhodeisland,Paul Mitchell the School-Rhode Island,Cranston,RI
2775,andersonuniversity,Anderson University,Anderson,SC
2776,cokeruniversity,Coker University,Hartsville,SC
2777,columbiacollege,Columbia College,Columbia,SC
2778,medicaluniversitysouthcarolina,Medical University of South Carolina,Charleston,SC
3195,paulmitchellschoolcharleston,Paul Mitchell the School-Charleston,North Charleston,SC
3194,paulmitchellschoolcolumbia,Paul Mitchell the School-Columbia,Columbia,SC
3269,paulmitchellschoolgreenville,Paul Mitchell the School-Greenville,Greenville,SC
3132,remingtoncollegecolumbiacampus,Remington College-Columbia Campus,Columbia,SC
2780,spartanburgcommunitycollege,Spartanburg Community College,Spartanburg,SC
2779,spartanburgmethodistcollege,Spartanburg Methodist College,Spartanburg,SC
2785,averasacredhearthospital,Avera Sacred Heart Hospital,Yankton,SD
2781,headlinesacademyinc,Headlines Academy Inc,Rapid City,SD
2782,mitchelltechnicalcollege,Mitchell Technical College,Mitchell,SD
2783,mountmartyuniversity,Mount Marty University,Yankton,SD
3033,nationalamericanuniversityellsworthafbextension,National American University-Ellsworth AFB Extension,Ellsworth Air Force Base,SD
2784,nationalamericanuniversityrapidcity,National American University-Rapid City,Rapid City,SD
2786,southdakotaschoolminestechnology,South Dakota School of Mines and Technology,Rapid City,SD
2787,southeasttechnicalcollege,Southeast Technical College,Sioux Falls,SD
2788,stewartschool,Stewart School,Sioux Falls,SD
2789,westerndakotatechnicalcollege,Western Dakota Technical College,Rapid City,SD
2790,baptisthealthsciencesuniversity,Baptist Health Sciences University,Memphis,TN
2793,chattanoogacollegemedicaldentaltechnicalcareers,Chattanooga College Medical Dental and Technical Careers,Chattanooga,TN
3261,devryuniversitytennessee,DeVry University-Tennessee,Nashville,TN
3144,empirebeautyschoolememphis,Empire Beauty School-E Memphis,Memphis,TN
3146,empirebeautyschooljackson,Empire Beauty School-Jackson,Jackson,TN
3145,empirebeautyschoolnashville,Empire Beauty School-Nashville,Brentwood,TN
3150,empirebeautyschoolsmemphis,Empire Beauty School-S Memphis,Memphis,TN
3105,jennyleaacademycosmetology,Jenny Lea Academy of Cosmetology,Johnson City,TN
2795,kinguniversity,King University,Bristol,TN
2798,lincolncollegetechnologynashville,Lincoln College of Technology-Nashville,Nashville,TN
3218,midsouthchristiancollege,Mid-South Christian College,Memphis,TN
2936,mrwaynesschoolunisexhairdesign,Mr Wayne's School of Unisex Hair Design,Cookeville,TN
3126,paulmitchellschoolmemphis,Paul Mitchell the School-Memphis,Memphis,TN
2972,remingtoncollegememphiscampus,Remington College-Memphis Campus,Memphis,TN
3058,remingtoncollegenashvillecampus,Remington College-Nashville Campus,Nashville,TN
2791,tennesseecollegeappliedtechnologycovington,Tennessee College of Applied Technology-Covington,Covington,TN
2792,tennesseecollegeappliedtechnologydickson,Tennessee College of Applied Technology-Dickson,Dickson,TN
2794,tennesseecollegeappliedtechnologyjacksboro,Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN
2800,tennesseecollegeappliedtechnologyknoxville,Tennessee College of Applied Technology-Knoxville,Knoxville,TN
2797,tennesseecollegeappliedtechnologymorristown,Tennessee College of Applied Technology-Morristown,Morristown,TN
2897,tennesseecollegeappliedtechnologynashville,Tennessee College of Applied Technology Nashville,Nashville,TN
2799,tennesseecollegeappliedtechnologypulaski,Tennessee College of Applied Technology-Pulaski,Pulaski,TN
2801,tennesseecollegeappliedtechnologywhiteville,Tennessee College of Applied Technology-Whiteville,Whiteville,TN
2796,universitymemphis,University of Memphis,Memphis,TN
3308,universitytennesseehealthsciencecenter,The University of Tennessee Health Science Center,Memphis,TN
2802,universitytennesseemartin,The University of Tennessee-Martin,Martin,TN
3020,academyhairdesignlufkin,Academy of Hair Design-Lufkin,Lufkin,TX
3056,americanintercontinentaluniversityhouston,American InterContinental University-Houston,Houston,TX
3340,annwebbskininstitute,Ann Webb Skin Institute,Austin,TX
3009,aomagraduateschoolintegrativemedicine,AOMA Graduate School of Integrative Medicine,Austin,TX
3054,augusteescoffierschoolculinaryartsaustin,Auguste Escoffier School of Culinary Arts-Austin,Austin,TX
2803,baylorcollegemedicine,Baylor College of Medicine,Houston,TX
3362,careersinstituteamerica,Careers Institute of America,Dallas,TX
3193,chamberlainuniversitytexas,Chamberlain University-Texas,Houston,TX
2804,cosmetologycareercenterllc,Cosmetology Career Center LLC,Carrollton,TX
2812,covenantschoolnursingalliedhealth,Covenant School of Nursing and Allied Health,Lubbock,TX
2806,dallascollege,Dallas College,Dallas,TX
3262,devryuniversitytexas,DeVry University-Texas,Irving,TX
3173,diamondscosmetologycollege,Diamonds Cosmetology College,Sherman,TX
2807,episcopaltheologicalseminarysouthwest,Episcopal Theological Seminary of the Southwest,Austin,TX
3368,evvayloisacademyschoolbeauty,Evvaylois Academy School of Beauty,Brenham,TX
2808,frankphillipscollege,Frank Phillips College,Borger,TX
2893,houstongraduateschooltheology,Houston Graduate School of Theology,Houston,TX
2810,lamarstatecollegeportarthur,Lamar State College-Port Arthur,Port Arthur,TX
2811,lincolncollegetechnologygrandprairie,Lincoln College of Technology-Grand Prairie,Grand Prairie,TX
2979,messengercollege,Messenger College,Bedford,TX
3247,nationalamericanuniversitygeorgetown,National American University-Georgetown,Georgetown,TX
2937,nuvaniinstitute,Nuvani Institute,San Antonio,TX
2938,nuvaniinstitute,Nuvani Institute,Eagle Pass,TX
2813,oceancorporation,Ocean Corporation,Houston,TX
2888,parkeruniversity,Parker University,Dallas,TX
3205,paulmitchellschoolarlington,Paul Mitchell the School-Arlington,Arlington,TX
3099,paulmitchellschoolaustin,Paul Mitchell the School-Austin,Austin,TX
3324,paulmitchellschoolclearlake,Paul Mitchell the School-Clear Lake,Webster,TX
2899,paulmitchellschoolhouston,Paul Mitchell the School-Houston,Houston,TX
3101,paulmitchellschoolsanantonio,Paul Mitchell the School-San Antonio,San Antonio,TX
2989,pipoacademyhairdesign,Pipo Academy of Hair Design,El Paso,TX
3103,remingtoncollegehoustonsoutheastcampus,Remington College-Houston Southeast Campus,Webster,TX
2814,saintedwardsuniversity,Saint Edward's University,Austin,TX
3350,salonprofessionalacademysanantonio,Salon Professional Academy of San Antonio,San Antonio,TX
2817,southwestschoolbusinesstechnicalcareerssanantonio,Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX
2815,stphilipscollege,St Philip's College,San Antonio,TX
2805,texasamuniversitycommerce,Texas A & M University-Commerce,Commerce,TX
3071,texashealthschool,Texas Health School,Houston,TX
3012,texashealthscienceuniversity,Texas Health and Science University,Austin,TX
2809,texastechuniversityhealthsciencescenter,Texas Tech University Health Sciences Center,Lubbock,TX
3357,texastechuniversityhealthsciencescenterelpaso,Texas Tech University Health Sciences Center-El Paso,El Paso,TX
3370,tonsorialartsbarbercollege,Tonsorial Arts Barber College,Texarkana,TX
3303,tulsaweldingschoolhouston,Tulsa Welding School-Houston,Houston,TX
3286,universityphoenixtexas,University of Phoenix-Texas,Houston,TX
2816,universitystthomas,University of St Thomas,Houston,TX
2819,universitytexashealthsciencecentersanantonio,The University of Texas Health Science Center at San Antonio,San Antonio,TX
2976,universitytexasmdandersoncancercenter,The University of Texas MD Anderson Cancer Center,Houston,TX
2818,universitytexassouthwesternmedicalcenter,University of Texas Southwestern Medical Center,Dallas,TX
3226,westcoastuniversitydallas,West Coast University-Dallas,Dallas,TX
2820,whartoncountyjuniorcollege,Wharton County Junior College,Wharton,TX
3199,avalonschoolcosmetologylayton,Avalon School of Cosmetology-Layton,Layton,UT
2822,broadviewuniversitywestjordan,Broadview University-West Jordan,West Jordan,UT
3100,dixietechnicalcollege,Dixie Technical College,Saint George,UT
2824,ensigncollege,Ensign College,Salt Lake City,UT
3171,mandalynacademy,Mandalyn Academy,American Fork,UT
3225,medspaacademies,Medspa Academies,South Jordan,UT
2957,myotherapycollegeutah,Myotherapy College of Utah,Millcreek City,UT
3072,paulmitchellschoollogan,Paul Mitchell the School-Logan,Logan,UT
3214,paulmitchellschoologden,Paul Mitchell the School-Ogden,Ogden,UT
3380,paulmitchellschoolrichlandprovo,Paul Mitchell the School-Richland-Provo,Provo,UT
2823,paulmitchellschoolsaltlakecity,Paul Mitchell the School-Salt Lake City,Holladay,UT
2998,paulmitchellschoolstgeorge,Paul Mitchell the School-St. George,Saint George,UT
3206,rockymountainuniversityhealthprofessions,Rocky Mountain University of Health Professions,Provo,UT
3210,tooeletechnicalcollege,Tooele Technical College,Tooele,UT
2922,universityphoenixutah,University of Phoenix-Utah,Salt Lake City,UT
2825,westminstercollege,Westminster College,Salt Lake City,UT
3356,americanmassagebodyworkinstitute,American Massage & Bodywork Institute,Vienna,VA
3353,anotherlevelbarberingcosmetologyschool,Another Level Barbering and Cosmetology School,Petersburg,VA
3083,averettuniversitynontraditionalprograms,Averett University-Non-Traditional Programs,Danville,VA
2828,blueridgecommunitycollege,Blue Ridge Community College,Weyers Cave,VA
2832,bonsecoursmemorialcollegenursing,Bon Secours Memorial College of Nursing,Richmond,VA
3168,chamberlainuniversityvirginia,Chamberlain University-Virginia,Vienna,VA
3263,devryuniversityvirginia,DeVry University-Virginia,Arlington,VA
3061,divinemercyuniversity,Divine Mercy University,Sterling,VA
2830,easternvirginiamedicalschool,Eastern Virginia Medical School,Norfolk,VA
2898,ecpiuniversity,ECPI University,Virginia Beach,VA
3045,edwardviacollegeosteopathicmedicine,Edward Via College of Osteopathic Medicine,Blacksburg,VA
3050,empirebeautyschoolmidlothian,Empire Beauty School-Midlothian,Midlothian,VA
3381,empirebeautyschoolnewportnews,Empire Beauty School-Newport News,Newport News,VA
3090,empirebeautyschoolrichmond,Empire Beauty School-Richmond,Richmond,VA
3213,empirebeautyschoolvirginiabeach,Empire Beauty School-Virginia Beach,Virginia Beach,VA
3174,northernvirginiaschooltherapeuticmassage,Northern Virginia School of Therapeutic Massage,Falls Church,VA
2827,paulmitchellschoolroanoke,Paul Mitchell the School-Roanoke,Roanoke,VA
3088,paulmitchellschooltysonscorner,Paul Mitchell the School-Tysons Corner,McLean,VA
3236,paulmitchellschoolwoodbridge,Paul Mitchell the School-Woodbridge,Woodbridge,VA
2831,sentaracollegehealthsciences,Sentara College of Health Sciences,Chesapeake,VA
2834,southernvirginiauniversity,Southern Virginia University,Buena Vista,VA
2829,williammary,William & Mary,Williamsburg,VA
2886,universityvirginislands,University of the Virgin Islands,Charlotte Amalie,VI
2826,northernvermontuniversity,Northern Vermont University,Johnson,VT
3311,avedainstituteportlandvancouvercampus,Aveda Institute Portland-Vancouver Campus,Vancouver,WA
2836,edmondscollege,Edmonds College,Lynnwood,WA
3139,garymanuelavedainstitute,Gary Manuel Aveda Institute,Seattle,WA
3140,northwestschoolwoodenboatbuilding,Northwest School of Wooden Boat Building,Port Hadlock,WA
3122,pacificnorthwestuniversityhealthsciences,Pacific Northwest University of Health Sciences,Yakima,WA
2835,paulmitchellschoolrichland,Paul Mitchell the School-Richland,Richland,WA
3188,paulmitchellschoolspokane,Paul Mitchell the School-Spokane,Spokane Valley,WA
2837,piercecollegedistrict,Pierce College District,Lakewood,WA
2838,saintmartinsuniversity,Saint Martin's University,Lacey,WA
3162,summitsalonacademy,Summit Salon Academy,Tacoma,WA
3015,universityphoenixwashington,University of Phoenix-Washington,Tukwila,WA
2839,wallawallacommunitycollege,Walla Walla Community College,Walla Walla,WA
2840,wallawallauniversity,Walla Walla University,College Place,WA
3202,whitworthuniversityadultdegreeprograms,Whitworth University-Adult Degree Programs,Spokane,WA
3102,bryantstrattoncollegewauwatosa,Bryant & Stratton College-Wauwatosa,Wauwatosa,WI
2964,empirebeautyschoolgreenbay,Empire Beauty School-Green Bay,Ashwaubenon,WI
3076,empirebeautyschoolmilwaukee,Empire Beauty School-Milwaukee,Milwaukee,WI
2849,lawrenceuniversity,Lawrence University,Appleton,WI
2850,medicalcollegewisconsin,Medical College of Wisconsin,Milwaukee,WI
2851,milwaukeeinstituteartdesign,Milwaukee Institute of Art & Design,Milwaukee,WI
2852,nashotahhouse,Nashotah House,Nashotah,WI
3008,ottawauniversitymilwaukee,Ottawa University-Milwaukee,Brookfield,WI
3307,paulmitchellschoolmadison,Paul Mitchell the School-Madison,Madison,WI
3163,paulmitchellschoolmilwaukee,Paul Mitchell the School-Milwaukee,Pawaukee,WI
3089,rasmussenuniversitywisconsin,Rasmussen University-Wisconsin,Green Bay,WI
2853,saintnorbertcollege,Saint Norbert College,De Pere,WI
3184,salonprofessionalacademykenosha,The Salon Professional Academy-Kenosha,Kenosha,WI
3216,shepherdscollege,Shepherds College,Union Grove,WI
2854,statecollegebeautycultureinc,State College of Beauty Culture Inc,Wausau,WI
2841,charlestonschoolbeautyculture,Charleston School of Beauty Culture,Charleston,WV
2939,huntingtonschoolbeautyculture,Huntington School of Beauty Culture,Huntington,WV
2842,jamesrumseytechnicalinstitute,James Rumsey Technical Institute,Martinsburg,WV
2843,marshalluniversity,Marshall University,Huntington,WV
3295,mingoextendedlearningcenter,Mingo Extended Learning Center,Delbarton,WV
2844,morgantownbeautycollegeinc,Morgantown Beauty College Inc,Morgantown,WV
2845,potomacstatecollegewestvirginiauniversity,Potomac State College of West Virginia University,Keyser,WV
3297,randolphtechnicalcenter,Randolph Technical Center,Elkins,WV
2846,westvirginiauniversityhospitaldepartmentsradtechnutrition,West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV
2847,westvirginiauniversityinstitutetechnology,West Virginia University Institute of Technology,Beckley,WV
2855,wyotech,WyoTech,Laramie,WY
